BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, +ACM- beacons, +ACM- IV, LAN IP, ID+AC0-length, ESSID, Key,
9C:6F:52:36:E8:61, 2018+AC0-02+AC0-28 18:40:35, 2018+AC0-02+AC0-28 18:40:36,3,54, WPA2, CCMP,PSK,+AC0-65,5,12,   0.  0.  0.  0,9, WIFIDemin, ,
6A:6F:52:36:E8:62, 2018+AC0-02+AC0-28 18:40:35, 2018+AC0-02+AC0-28 18:40:36,3,54, OPN ,       ,   ,+AC0-65,6,0,   0.  0.  0.  0,7, KPN Fon, ,
5A:4D:EA:9C:DB:A8, 2018+AC0-02+AC0-28 18:40:35, 2018+AC0-02+AC0-28 18:40:36,3,54, OPN ,       ,   ,+AC0-71,2,0,   0.  0.  0.  0,7, KPN Fon, ,
00:1D:AA:C5:4A:38, 2018+AC0-02+AC0-28 18:40:34, 2018+AC0-02+AC0-28 18:40:35,1,54, WPA2, CCMP,PSK,+AC0-72,3,0,   0.  0.  0.  0,11, VFNL+AC0-C54A38, ,
38:43:7D:0F:A3:F7, 2018+AC0-02+AC0-28 18:40:35, 2018+AC0-02+AC0-28 18:40:37,6,54, WPA2, CCMP,PSK,+AC0-75,4,0,   0.  0.  0.  0,9, konijntje, ,
30:99:35:91:5B:1E, 2018+AC0-02+AC0-28 18:40:36, 2018+AC0-02+AC0-28 18:40:36,9,54, WPA2, CCMP,PSK,+AC0-76,2,0,   0.  0.  0.  0,11, H369A915B1E, ,
34:4D:EA:9C:DB:AB, 2018+AC0-02+AC0-28 18:40:35, 2018+AC0-02+AC0-28 18:40:36,3,54, WPA2WPA , CCMP TKIP,PSK,+AC0-76,3,9,   0.  0.  0.  0,11, H368N9CDBAB, ,
72:99:35:91:5B:1F, 2018+AC0-02+AC0-28 18:40:36, 2018+AC0-02+AC0-28 18:40:36,9,54, OPN ,       ,   ,+AC0-77,1,0,   0.  0.  0.  0,7, KPN Fon, ,
00:15:F2:91:18:73, 2018+AC0-02+AC0-28 18:40:37, 2018+AC0-02+AC0-28 18:40:37,11,54, WPA2WPA , CCMP TKIP,PSK,+AC0-81,2,0,   0.  0.  0.  0,8, Bontmuts, ,
00:02:6F:A0:C5:BF, 2018+AC0-02+AC0-28 18:40:35, 2018+AC0-02+AC0-28 18:40:35,2,+AC0-1, WPA ,       ,   ,+AC0-85,0,2,   0.  0.  0.  0,0, , ,
