
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
72:4A:77:69:4A:F7, 2018-02-28 18:15:28, 2018-02-28 18:15:28,  9,  54, OPN ,       ,   , -81,        2,        0,   0.  0.  0.  0,   7, KPN Fon, 
54:88:0E:B7:D5:A8, 2018-02-28 18:15:27, 2018-02-28 18:15:27, 13,  54, WPA2, CCMP TKIP,PSK, -81,        2,        0,   0.  0.  0.  0,  12, UPC248777726, 
AC:22:05:55:F1:ED, 2018-02-28 18:15:18, 2018-02-28 18:15:18,  6,  54, WPA2, CCMP,PSK, -85,        2,        0,   0.  0.  0.  0,  12, ZiggoB938D41, 
84:9C:A6:A5:ED:FE, 2018-02-28 18:15:16, 2018-02-28 18:15:16,  2,  54, WPA2, CCMP,PSK, -85,        2,        0,   0.  0.  0.  0,  13, VGV7519A5EDFE, 
5C:A3:9D:7F:EA:A8, 2018-02-28 18:15:15, 2018-02-28 18:15:15,  1,  54, WPA2, CCMP TKIP,PSK, -86,        2,        0,   0.  0.  0.  0,  12, UPC241246408, 
06:1D:AA:DC:01:60, 2018-02-28 18:15:04, 2018-02-28 18:15:04, 13,  54, WPA2, CCMP,PSK, -80,        2,        0,   0.  0.  0.  0,   0, , 
5A:D8:2F:0E:DC:F1, 2018-02-28 18:15:05, 2018-02-28 18:15:05,  4,  54, OPN ,       ,   , -81,        1,        0,   0.  0.  0.  0,   7, KPN Fon, 
AC:22:05:CF:77:23, 2018-02-28 18:15:06, 2018-02-28 18:15:06,  6,  54, WPA2, CCMP,PSK, -84,        2,        0,   0.  0.  0.  0,  12, ZiggoEE129FC, 
38:43:7D:36:4D:74, 2018-02-28 18:15:06, 2018-02-28 18:15:06, 11,  54, WPA2, CCMP TKIP,PSK, -84,        0,        0,   0.  0.  0.  0,  14, Hunkys Mansion, 
84:9C:A6:AB:C9:C4, 2018-02-28 18:15:05, 2018-02-28 18:15:05, 10,  54, WPA2, CCMP TKIP,PSK, -84,        1,        0,   0.  0.  0.  0,  13, VGV7519ABC9C4, 
00:24:8C:18:09:F8, 2018-02-28 18:15:06, 2018-02-28 18:15:07, 11,  54, WPA , TKIP,PSK, -86,        2,        0,   0.  0.  0.  0,   4, Bier, 
80:2A:A8:1A:71:72, 2018-02-28 18:15:06, 2018-02-28 18:15:06, 11,  54, WPA2, CCMP,PSK, -86,        2,        0,   0.  0.  0.  0,   6, Link'd, 
54:67:51:83:20:0D, 2018-02-28 18:14:58, 2018-02-28 18:14:58, 112,  54, WPA2WPA , CCMP TKIP,PSK, -85,        2,        0,   0.  0.  0.  0,  10, Ziggo-J7-5, 
56:67:51:83:1F:10, 2018-02-28 18:14:58, 2018-02-28 18:14:58, 112,  54, WPA2WPA , CCMP TKIP,PSK, -86,        2,        0,   0.  0.  0.  0,  12, Ziggo-gastJ7, 
38:43:7D:38:4D:34, 2018-02-28 18:14:55, 2018-02-28 18:14:55, 40,  54, WPA2WPA , CCMP TKIP,PSK, -87,        2,        0,   0.  0.  0.  0,  12, Ziggo7128785, 
00:80:48:66:DC:1D, 2018-02-28 18:14:05, 2018-02-28 18:14:18,  3,  11, WEP , WEP,   , -81,        8,        0,   0.  0.  0.  0,  15, Heras 3G dome 1, 
B6:8B:19:09:1C:CD, 2018-02-28 17:47:13, 2018-02-28 18:14:16,  1,  54, WPA2, CCMP,PSK, -85,       33,        0,   0.  0.  0.  0,  14, Epco's iPhone6, 
00:02:6F:C8:A6:CA, 2018-02-28 18:13:21, 2018-02-28 18:13:44,  6,  54, WPA2, CCMP,PSK, -85,        4,        0,   0.  0.  0.  0,   8, inmotio2, 
3C:D9:2B:94:60:50, 2018-02-28 18:11:47, 2018-02-28 18:11:47, 11,  54, OPN ,       ,   , -78,        2,        4,  10. 87.  3.  4,  16, WiFi in de trein, 
3C:D9:2B:94:73:30, 2018-02-28 18:11:48, 2018-02-28 18:11:48, 11,  54, OPN ,       ,   , -79,        0,        1,  10. 87.  0.161,  16, WiFi in de trein, 
3C:D9:2B:95:77:B0, 2018-02-28 18:11:47, 2018-02-28 18:11:47, 11,  54, OPN ,       ,   , -84,        1,        1,   0.  0.  0.  0,  16, WiFi in de trein, 
00:A0:F9:48:93:DB, 2018-02-28 18:11:35, 2018-02-28 18:11:36, 11,  54, WPA2WPA , CCMP,PSK, -74,        3,        0,   0.  0.  0.  0,   0, , 
00:0E:8E:67:0D:62, 2018-02-28 18:11:36, 2018-02-28 18:11:36,  6,  54, OPN ,       ,   , -76,        2,        0,   0.  0.  0.  0,  16, WiFi in de trein, 
00:0E:8E:67:0D:64, 2018-02-28 18:11:36, 2018-02-28 18:11:36, 11,  54, OPN ,       ,   , -77,        2,        0,   0.  0.  0.  0,  16, WiFi in de trein, 
00:0E:8E:67:0F:98, 2018-02-28 18:11:36, 2018-02-28 18:11:36,  6,  54, OPN ,       ,   , -79,        2,        0,   0.  0.  0.  0,  16, WiFi in de trein, 
00:02:6F:FA:EA:3C, 2018-02-28 18:11:34, 2018-02-28 18:11:34,  2,  54, WPA2, CCMP TKIP,PSK, -80,        2,        0,   0.  0.  0.  0,   6, Vialle, 
00:1A:DD:1C:E7:E6, 2018-02-28 18:11:24, 2018-02-28 18:11:24, 11,  54, WPA2WPA , CCMP TKIP,PSK, -85,        2,        0,   0.  0.  0.  0,  11, ASK - GUEST, 
00:1A:DD:1C:E7:E4, 2018-02-28 18:11:24, 2018-02-28 18:11:24, 11,  54, WPA2, CCMP,PSK, -86,        2,        0,   0.  0.  0.  0,  12, ASK - OFFICE, 
EA:1E:E7:B1:87:18, 2018-02-28 17:38:51, 2018-02-28 18:10:58,  1,  54, WPA2, CCMP,PSK, -84,      125,        0,   0.  0.  0.  0,  14, iPhone Metjoop, 
2C:95:7F:56:D6:7A, 2018-02-28 18:10:35, 2018-02-28 18:10:35,  2,  54, WPA2WPA , CCMP TKIP,PSK, -77,        0,        0,   0.  0.  0.  0,  11, H368N56D67A, 
84:9C:A6:2D:AE:15, 2018-02-28 18:10:38, 2018-02-28 18:10:38,  6,  54, WPA2, CCMP TKIP,PSK, -85,        2,        0,   0.  0.  0.  0,  17, KPN-VGV75192DAE15, 
40:0D:10:BA:E8:41, 2018-02-28 18:10:26, 2018-02-28 18:10:26,  6,  54, WPA2, CCMP,PSK, -83,        2,        0,   0.  0.  0.  0,  12, Ziggo6035136, 
18:83:BF:BE:36:EB, 2018-02-28 18:10:24, 2018-02-28 18:10:24,  2,  54, OPN ,       ,   , -84,        3,        0,   0.  0.  0.  0,   7, KPN Fon, 
00:23:54:73:8B:60, 2018-02-28 18:10:26, 2018-02-28 18:10:26,  6,  54, WPA , TKIP,PSK, -85,        1,        0,   0.  0.  0.  0,  14, CallCenterWifi, 
82:2A:A8:17:BC:32, 2018-02-28 18:10:26, 2018-02-28 18:10:26, 11,  54, WPA2, CCMP,PSK, -86,        1,        0,   0.  0.  0.  0,   6, HGBEST, 
00:23:69:2E:3D:2B, 2018-02-28 18:10:14, 2018-02-28 18:10:14, 11,  54, WEP , WEP,   , -88,        2,        0,   0.  0.  0.  0,   8, dooijkes, 
84:9C:A6:A7:7D:6A, 2018-02-28 18:09:26, 2018-02-28 18:09:26,  8,  54, WPA2, CCMP,PSK, -83,        2,        0,   0.  0.  0.  0,  12, Parkwachters, 
D0:B2:C4:56:12:3D, 2018-02-28 18:09:24, 2018-02-28 18:09:25,  1,  54, WPA2, CCMP,PSK, -85,        2,        0,   0.  0.  0.  0,  10, Ziggo18821, 
B0:4E:26:81:2D:3E, 2018-02-28 18:09:27, 2018-02-28 18:09:27,  4,  54, WPA2, CCMP TKIP,PSK, -86,        2,        0,   0.  0.  0.  0,  18, Rene van Esch mesh, 
B0:C2:87:7C:99:62, 2018-02-28 18:09:24, 2018-02-28 18:09:25,  1,  54, WPA2, CCMP,PSK, -86,        3,        0,   0.  0.  0.  0,  10, Ziggo97360, 
00:25:00:FF:94:73, 2018-02-28 17:42:02, 2018-02-28 18:08:18, 44,  -1, OPN ,       ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
94:F6:65:0C:9A:38, 2018-02-28 18:07:53, 2018-02-28 18:07:54, 10,  54, WPA2, CCMP TKIP,PSK, -81,        2,        0,   0.  0.  0.  0,   5, JENNY, 
94:F6:65:4C:9A:38, 2018-02-28 18:07:53, 2018-02-28 18:07:54, 10,  54, WPA2, CCMP TKIP,PSK, -85,        1,        0,   0.  0.  0.  0,   8, SWINKELS, 
00:24:A8:AB:64:90, 2018-02-28 18:06:55, 2018-02-28 18:06:56, -1,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
3C:D9:2B:8F:BD:A0, 2018-02-28 18:06:54, 2018-02-28 18:06:54,  1,  54, OPN ,       ,   , -75,        0,        0,   0.  0.  0.  0,  16, WiFi in de trein, 
